territory_id,state,year,x3_farming,x4_non_vegetated_area,x1_forest,x2_non_forest_natural_formation,x5_water,non_observed
1500859,PA,2016,210024.95292733,446.749034936523,960925.068090209,7660.52605753777,10474.5186506285,
1500859,PA,2017,217549.962860874,477.808189202879,953442.328420807,7352.8729966429,10708.8422931028,
1500859,PA,2018,224145.569229271,492.537317388914,946500.699350329,8508.39922592131,9884.60963773793,
1500859,PA,2019,249087.921641323,514.314873760986,922386.935399376,8583.51827723965,8959.12456892087,
1500909,PA,2000,22914.8357821896,272.445785443114,76935.6391021917,853.978703131105,3539.69316678473,25.1173478332519
1500909,PA,2001,27285.7684142875,301.941668762206,72472.5526785328,841.018119775392,3609.68041555182,30.7485906616211
1500909,PA,2002,20487.5997122251,296.399623126219,79378.2536409747,745.733580352786,3601.45516045539,32.2681704467773
1500909,PA,2003,31801.4202871378,318.387729675293,67988.1881984306,828.326981323245,3570.16880205083,35.2178889587402
1500909,PA,2004,27659.2518928156,329.20282265625,72047.3221410753,874.448077410891,3595.01566149907,36.4692921142578
1500909,PA,2005,24296.8839592696,336.442662640381,75363.5663261972,862.113163507082,3650.97188743903,31.7318885131836
1500909,PA,2006,30728.5638290905,350.296865637205,68931.2582716178,841.555968774418,3657.14106936651,32.8938830871582
1500909,PA,2007,37441.5128935313,377.380077716063,62130.268005499,873.287526055912,3690.3004405274,28.9609442443848
1500909,PA,2008,31329.7118891331,388.195379882811,68498.3310226703,769.869769451906,3522.26099334723,33.3408330932617
1500909,PA,2009,30339.9699890583,384.619586907959,69494.599082209,825.108617724612,3465.50190053107,31.9107111450195
1500909,PA,2010,33621.3686425866,385.423592962648,65960.5129199388,823.051563372804,3720.33633880011,31.0168299194336
1500909,PA,2011,31816.0012593622,398.383776440431,67993.0065097915,953.0148232605,3345.72801931769,35.575499407959
1500909,PA,2012,28010.3970188575,396.685257598879,71722.6430603776,783.096728222656,3597.78157812506,31.1062443908691
1500909,PA,2013,30656.7682389129,408.125838739015,69205.5105783476,775.230955908203,3467.56022155764,28.5140541137695
1500909,PA,2014,36963.4606957185,408.840262255859,62739.0896371492,787.476005322267,3614.41861821294,28.4246689147949
1500909,PA,2015,34085.4949135397,427.253170727537,65379.6648247999,709.890610180668,3915.80854556891,23.5978227600098
1500909,PA,2016,29201.262636857,432.616179376218,70464.6409713911,755.654803363036,3664.20561282965,23.3296837585449
1500909,PA,2017,33269.4700822221,435.386973065182,66552.8561119944,738.224892846677,3519.58180394293,26.1900235107422
1500909,PA,2018,33061.473244022,441.911836895746,66716.9640324584,767.810932379148,3526.46596099855,27.0838808288574
