sigla,nome_munic,geocodig_m,imoveis_car,area_car
AP,Pedra Branca do Amapari,1600154,330,114152.9678
AP,Porto Grande,1600535,598,201793.0713
AP,Pracuúba,1600550,100,531270.961
AP,Santana,1600600,232,125441.8977
AP,Serra do Navio,1600055,48,27443.4999
AP,Tartarugalzinho,1600709,389,449446.4344
AP,Vitória do Jari,1600808,616,43627.864
BA,Abaíra,2900108,997,8688.0936
BA,Abaré,2900207,1044,7785.0673
BA,Acajutiba,2900306,639,5204.1796
BA,Adustina,2900355,2112,28407.5659
BA,Água Fria,2900405,1128,26450.784
BA,Aiquara,2900603,247,5976.2915
BA,Alagoinhas,2900702,1237,27343.6256
BA,Alcobaça,2900801,646,98451.2727
BA,Almadina,2900900,41,6296.2519
BA,Amargosa,2901007,1411,16241.1804
BA,Amélia Rodrigues,2901106,215,7428.7973
BA,América Dourada,2901155,1251,27021.0807
BA,Anagé,2901205,2319,50530.7624
BA,Andaraí,2901304,379,47962.8887
BA,Andorinha,2901353,1433,25748.0464
BA,Angical,2901403,1298,118109.4511
BA,Anguera,2901502,313,2453.178
BA,Antas,2901601,626,6667.2502
BA,Antônio Cardoso,2901700,939,3187.1688
BA,Antônio Gonçalves,2901809,257,3250.8884
BA,Aporá,2901908,2009,18796.0305
BA,Apuarema,2901957,545,5851.9664
BA,Araçás,2902054,480,20595.426
BA,Aracatu,2902005,1982,48210.6501
BA,Araci,2902104,4519,53179.578
BA,Aramari,2902203,312,17431.0565
BA,Arataca,2902252,519,8436.6497
BA,Aratuípe,2902302,665,5527.3866
BA,Aurelino Leal,2902401,93,12948.9397
BA,Baianópolis,2902500,1106,201651.1697
BA,Baixa Grande,2902609,863,21751.1235
BA,Banzaê,2902658,242,1647.3907
BA,Barra,2902708,756,360162.2098
BA,Barra Da Estiva,2902807,2602,52022.4553
BA,Barra Do Choça,2902906,1051,29526.9007
BA,Barra Do Mendes,2903003,1418,23412.3934
BA,Barra Do Rocha,2903102,134,4060.1783
BA,Barreiras,2903201,4191,532508.8355
BA,Barro Alto,2903235,1780,14859.8454
BA,Barrocas,2903276,1189,4035.9088
BA,Barro Preto,2903300,85,4579.8839
BA,Belmonte,2903409,354,84899.3576
BA,Belo Campo,2903508,557,16585.7579
BA,Biritinga,2903607,771,12330.9632
BA,Boa Nova,2903706,273,13184.1236
BA,Boa Vista Do Tupim,2903805,269,78169.5671
BA,Bom Jesus Da Lapa,2903904,2462,187377.2355
BA,Bom Jesus Da Serra,2903953,1309,18785.7621
BA,Boninal,2904001,1285,22086.7645
BA,Bonito,2904050,880,24357.1844
BA,Boquira,2904100,1180,15842.4591
BA,Botuporã,2904209,1262,14109.9283
BA,Brejões,2904308,900,16572.6156
BA,Brejolândia,2904407,1000,125936.9303
BA,Brotas De Macaúbas,2904506,1098,22251.6152
BA,Brumado,2904605,6986,102658.6451
BA,Buerarema,2904704,147,4451.9886
BA,Buritirama,2904753,1903,138876.1743
BA,Caatiba,2904803,319,26897.6233
BA,Cabaceiras Do Paraguaçu,2904852,1231,4110.2993
BA,Cachoeira,2904902,999,7666.5436
BA,Caculé,2905008,1647,24192.4911
BA,Caém,2905107,350,9473.3135
BA,Caetanos,2905156,1154,24533.0125
BA,Caetité,2905206,1085,38853.9884
BA,Cafarnaum,2905305,1546,21699.8481
BA,Cairu,2905404,19,3343.7923
BA,Caldeirão Grande,2905503,621,10321.1993
BA,Camacan,2905602,141,7095.3736
BA,Camaçari,2905701,938,7344.9284
BA,Camamu,2905800,249,11419.8886
